Cycle,ETH In Cycle,Q Produced,Total Batches,Total Staked Q,Change in Stake,ETH Burned
205,0.014,1.12,2,1066.443,4.401,0.011
206,0.007,0.756,1,1067.199,0.756,0.008
207,0.0,0.0,0,0.0,-1067.199,0.0
208,0.0,0.0,0,0.0,0.0,0.0
209,0.007,0.168,1,1054.623,1054.623,0.002
210,0.0,0.0,0,0.0,-1054.623,0.0
211,0.0,0.0,0,0.0,0.0,0.0
212,0.007,0.226,1,1048.26,1048.26,0.002
213,0.0,0.0,0,0.0,-1048.26,0.0
214,0.0,0.0,0,0.0,0.0,0.0
215,0.0,0.0,0,0.0,0.0,0.0
216,0.0,0.0,0,0.0,0.0,0.0
217,0.0,0.0,0,0.0,0.0,0.0
218,0.0,0.0,0,0.0,0.0,0.0
219,0.021,2.788,3,1049.042,1049.042,0.028
220,0.007,0.353,1,1029.792,-19.25,0.004
221,0.0,0.0,0,0.0,-1029.792,0.0
